movieId,title,storyline,trailerLink,source_trailer,genre,director,starring,releasedYear,runtime,IMDB avg rating,no of users (who rated),views,likes,comments,trailerPublishedAt
1,SHUKLOPOKKHO,"When one by one three female students went missing from a reputed university, Laboni may also be a victim of kidnapping. But how will Manju save Laboni based on only ideas?",qwG5VBZFjWk,Chorki,Romantic Thriller,Vicky Zahed,"Khairul Basar, Sunerah Binte Kamal, Ziaul Roshan, Faruk Ahmed, Sharif Siraj, Abdullah Shentu","11 August, 2022",99 minutes,6.6,697,234878,4563,219,"6 August, 2022"
2,GUNIN,The story of 'Gunin' revolves around village exorcist Rojob Ali Gunin who possesessed a vast spiritual power. The film follows the aftermath of Gunin's mysterious death.,bjur51mFoWg,Chorki,Drama,Gias Uddin Selim,"Pori Moni, Shariful Razz, Azad Abul Kalam, Dilara Zaman, Iresh Zaker, Mostafa Monwar, Bithy Rani Sarker, Shilpi Sharkar Apu, Nasir Uddin Khan","11 March, 2022",118 minutes,6.3,275,896694,12336,332,"6 March, 2022"
3,TAAN,Rashed and Abani- Two lovers living the life as they dreamt. But fate plays a tragic turn when a past mistake transforms into vengeance. Could Rashed and Abani survive this storm and make it to the end?,N4m3qNCGohw,Chorki,Romantic Drama,Raihan Rafi,"Siam Ahmed, Shobnom Bubly, Shohel Mondol, Nilanjana Nila, Farjana Chabi","27 January, 2022",105 minutes,6.7,446,802229,12070,623,"25 January, 2022"
4,REDRUM,Famous musician Shohel is found dead in his bedroom. His wife Neela was sleeping peacefully when the body is discovered. Shohel's childhood friend detective Rashed took charge of the investigation.,MM-TQeS-P-0,Chorki,Thriller,Vicky Zahed,"Afran Nisho, Mehazabien Chowdhury, Manoj Kumar Pramanik, Sallha Khanam Nadia, Nasir Uddin Khan, Azizul Hakim, Masum Basar, Shilpi Sharkar Apu, Mukul Shiraj, Hindol Roy, Faizul Yameen, R A Rahul, Rakiba Sultana Shormy, Ehtesham Ahmed Tinku, Salma","17 February, 2022",132 minutes,8.1,2428,876925,21104,905,"10 February, 2022"
5,BOKUL FUL,"Dacoit Sardar Mynaal has a strange understanding while robbing a house. Dacoits are as emotionally trapped as ordinary people. They also get happiness and sorrow, laughter and tears, and also fall in love.",_TxYpx-ThAY ,Chorki (another trailer available)(should we add both?),Thriller,Saraf Ahmed Zibon,"Mosharraf Karim, Tasnuva Tisha, Hindol Roy, Masud Harun, Sheikh Merajul Islam, Hedayet Nannu, Hasnat Ripon, Tuhin Chowdhury, Deepak Karmakar, Sheikh Shawpna, Shetaj Jebin, Ariyan","2 December, 2021",37 minutes,8.1,42,26812,740,35,"2 December, 2021"
6,NETWORKER BAIRE,"A group of four friends engaging in fun banters, and madness in the heart of Cox's Bazar when something unexpected happens to them, read a press release.",xYn-mApSCSk,Chorki,Feel Good,Mizanur Rahman Aryan,"Sariful Razz,Yash Rohan, Khairul Basar, Jonayed Bukdadi, Nazia Haque Orsha,Tasnia Farin, Nazifa Tushi,Tasnuva Tisha, Shamima Naznin, Manosh Bandapadhaya, Mahmood Sajjad, Munira Yusuf Memi","19 August, 2021",90 minutes,7.9,3602,956788,19698,886,"14 August, 2021"
7,NISHWAS,"The movie follows a story of terrorists attack in a hospital of Dhaka organized by a nurse of the following hospital.The nurse and her husband were well educated but they get brainwashed by some terrorist for their sureal ""Zihad"". Will the terrorist get successful in their horrible mission or the truth will win as usual?",Z5leR6ZoagY,Chorki,Action,Raihan Rafi,"Tasnia Farin, Imtiaz Barshon, Solaiman Khoka, Dilara Zaman, Safa Kabir, Sayed Zaman Shawon, Ashok Bepari, Hamidur Rahman, Neel Hurerzahan, Kamruzzaman Tapu, Rashed Mamun Apu, Farhad Limon, Farzana Chobi, Anwar Hossain, Purnima Bristi, Masum Rezwan, Rusho Sheikh, Jon Armstrong, Sujon Habib","15 September, 2022",111 minutes,4.9,86,180281,6001,424,"7 September, 2022"
8,SCOOTY,"Anu Bahar, a girl from a middle class family, has to use regular public transport. Almost every day she was being harassed on the street, in the car, on the sidewalk. When this daily harassment of the road goes beyond tolerance, one day Anu decides to buy a scooter. But there began another struggle.",itEZqDP_36g,Chorki,Drama,Arifur Rahman,"Nazifa Tushi, Siam Raihan, Shangeeta Chowdhury, Ashok Bepari, Hedayet Nannu, Adnan Adib Khan, Ashfakul Ashekin,Reshmee, Mohona , Shashi Afroza, Sonia Yeasmin, Amin, Maria, Tanisha, Ohona, Krishna","8 March, 2022",46 minutes,6.4,30,128747,3261,78,"8 March, 2022"
9,EKJON TELAPOKA,A rickshaw puller fell into a trap like a cockroach.,mnsN4x8h3Oo,Chorki,Drama,Golam Muntakim,"Manoj Pramanik, Shatabdi Wadud, Nasir Uddin Khan, Tasnuva Tisha, S M Tusher, Humaira Snigdha, Ahsabul Yamin Riad, Mounsiff Uz Zaman","6 January, 2022",39 minutes,7.1,23,42448,762,43,"5 January, 2022"
10,KHACHAR BHITOR OCHIN PAKHI,"In the game of politics, power dynamic can change anytime. But will this wind of change effect the life of these opportunistic people?",AGkZ5JbqX68,Chorki,Thriller,Raihan Rafi,"Fazlur Rahman Babu, Tama Mirza, Intekhab Dinar, Sumon Anowar, Nasir Uddin Khan","21 October, 2021",113 minutes,7.4,409,348078,3356,141,"20 October, 2021"
11,BAGHER BACHCHA,"Bagher Bachcha, a group of masked robbers. They attack corrupted people and unmask them. Is ""Bagher Bachcha"" a threat or a saviour? Who are they?",qVNQSMN3Jwk,Chorki,Thriller,Goutam Koiri,"Shahiduzzaman Selim, Khairul Basar, Deepak Sumon, Jahangir Alam, Forhad Limon, Kamruzzaman Tapu, A K Azad Shetu, Parvej shumon, Ihtisham Ahmed, Amanul Hoque Helal","16 September, 2021",30 minutes,7.1,25,42872,1506,135,"14 September, 2021"
12,ARAAL,"Siddiq, the Muezzin of a local mosque in the Monpura Island, discovers the dead body of a sex-worker on the floor of his own house in the early morning. Siddiq has no idea how this body came to his house. What will Siddiq do in this situation?",5r5TNqcn6OU,Chorki,Pysochological Suspense,Nazmul Nobin,"Pritom Hasan, Quazi Nawshaba Ahmed, Sumon Anwar","22 October, 2022",42 minutes,8.1,32,74126,1785,183,"25 October, 2022"
13,DUI DINER DUNIYA,A truck driver meets a mysterious strange man in a highway who claims he had come from future.,ASEX0Ejh05w,Chorki,Mystery Suspense,Anam Biswas,"Chanchal Chowdhury, Fazlur Rahman Babu, Tanvin Sweety, Tania Brishty, Moushumi Hamid, Rakib Hossain Evon, Iqbal Hossain, Shakkho Shahid. Mantaha Warda, Anjuman Ara Shirin, Hannan Shelly, Nusrat Jahan Nodi, Sajjad, Bitlu Shamim, Mahfuz Munna, Shohel Masud, Anik Hasan, Saif Ahmed, Sohel Ahmed, Rachi Chowdhury","13 October, 2022",85 minutes,7.2,573,342213,10091,398,"12 October, 2022"
14,SAHOSH,"There are rivers on both sides of Bagerhat and forest behind. Life is as whimsical as nature, and the storms are endless. Amid all that chaos, Neela-Raihan's love story wants to blossom. Then the storm hits hard, and their life turns upside down, but they don't give up. They gather courage and keep fighting hard.",GW5drMtxjZE,Chorki,Crime,Sazzad Khan,"Nazia Haque Orsha, Mostafizur Noor Imran, Khairul Basar, Khalid Mahbub Turjo, Kuntal Bishwas Buki","16 June, 2022",103 minutes,6.6,28,33575,775,48,"14 June, 2022"
15,HAPPY BIRTHDAY,"Pinky's birthday today. She was leaving to celebrate the day, a car drove up and abducted her. Pinky wakes up in an abandoned movie theatre. She thinks that, maybe she is kidnapped for ransom. But the kidnappers have some other intentions.",fjvqk2L54UE,Chorki,Comedy,Nissan Mahmud,"Safa Kabir, Allen Shubhro, Rosey Siddique, Md. Iqbal hossain, Abdullah Al Sentu, Prety Chowdhury, Hossain Zibon, Quazi Abrar Hasan, Ishraq Rahman Shanto","19 May, 2022",154 minutes,5.5,509,74092,2094,171,"15 May, 2022"
16,FLOOR NO. 7,Popular actor Sadman Chowdhury shot dead by a pistol while filming a scene on the shooting floor of a film. All the shocking information came out one by one in the investigation. Who exchanged real pistol from props pistol?,uiUOKY8iqRk,Chorki,Murder Mystery,Raihan Rafi,"Shobnom Bubly, Tama Mirza, Raaz Mania, Shahriar Nazim Joy, Sumon Anowar, Saiful Jarnal","3 May, 2022",95 minutes,5.7,133,177972,4292,281,"26 April, 2022"
17,TITHIR OSHUKH,"Tithi is suffering from a mysterious condition. Whoever dies in her dream, dies in reality. Is it a psychological disorder? Or something beyond explanation?",-18b6APvq5U,Chorki,Psychological Thriller,Imraul Rafat,"Intekhab Dinar, Yash Rohan, Tasnia Farin, Tutia Yasmeen Papia, Sayem Samad, Shoaib Monir, Otithi Israt, Momo Ali, Noksha Khatun, Dola Khan","4 November, 2021",43 minutes,6.8,19,86221,1861,120,"2 November, 2021"
18,MUNSHIGIRI,"After the sensational 'Titas Gas Employee Murder' case was handed to the Detective Branch of the Police, the investigation was handed over to Masood Munshi, ADC of the detective branch. Masood Munshi, in collaboration with his wife Parveen Sultana, uses his old method of revealing secrets. The story of secret revenge. It is a breathtaking story about the involvement of Ishtiaq Mirza, the accused writer in the murder case.",JrEudwDT2Os,Chorki,Detective Drama,Amitabh Reza Chowdhury,"Chanchal Chowdhury, Purnima, Sabnam Faria, Gazi Rakayet, Shahiduzzaman Selim, Khandaker Lenin, Imtiaz BarshanAnisul Hoque BarunMasum Aziz, Ashok Baperi","30 September, 2021",85 minutes,7,861,492543,8543,427,"28 September, 2021"
19,DAAG,"OC Alamgir rescued that baby who was found in a dustbin and restore him to a hospital. The baby without identity drew huge attention in social media. Thousands of childless families applied to adopt the child. OC Alamgir is given the charge to investigate the selected couples. At the time of investigation, OC Alamgir suffers from mental agony as his own child died met a very premature death. At that time there came the original mother of the nameless child. Why this child was thrown away? What would be the consequence of this child?",iVxmE4PLGt4,Chorki,Social,Sanjoy Somadder,"Mosharraf Karim, Aisha Khan, Nishat Priom, Saberi Alam, A K Azad Shetu, Somu Chowdhury, Mili Bashar, Kazi Anisul Haque Borun, Naresh Bhuiya, Shilpi Sarkar Opu, Shamima Tusty, Nadia Haque, Asadujjaman Asad, Labonno Bindu, Zahid Hossain Shovon, Aynun Putul, Alam Sohag, Khandakar Lenin, Faisal Dip, Reshma Ahmed, Parvez Shumon, K M Abdur Razzaque","10 November, 2022",81 minutes,7.5,96,234689,5672,248,"2 November, 2022"
20,EI MUHURTE,"Every now and then, occurrences take place on the streets, alleys and highways of this city like the accumulation of moss on a concrete wall. Though majority of these fresh deposits appear true to us, they could really be otherwise. Nonetheless, wrapped under the folds of these truth and lies, three tales are carved to be called ""Ei Muhurte"".",PP4u9ujqrIE,Chorki,Suspense Satire Drama,"""Piplu R Khan, Mejbaur Rahman Sumon, Abrar Athar""","Sara Zaker, Shahiduzzaman Selim, Zahid Hasan, Rosy Siddiqui, Ashish khondker, Rokeya prachy, Mostafizur Noor Imran, Sunerah Binte Kamal, Yash Rohan, Irfan Sajjad, Sharif Siraj, Dibya Jyoti, Tanjim Saiyara Totini, Priyontee Urbee, Rasheda Rakhi, Kamruzzaman Tapu, Toufikul Islam Emon, Syeda Taslima Hossain Nodi, Ariq Anam Khan, Nawaf Naser, Sairaz Mahedi Rinku, MD: Shariful Islam, Syed Golam Sarwar, Md. Younus Ali, Iftekhar emaj, Syed Nazmus Sakib, Remon Hossain Khan, Bijaya Ratnabali, Sohan rahman, Riasat Salekin, Abrar Jahin Rafee, Eman Prodhan, Athar Mezbah Arnob","23 June, 2022",98 minutes,5.9,74,29777,665,33,"23 June, 2022"
21,SHESH CHITHI,"Tuli is an orphan girl who tries to settle a home with the man she loves and Shyamol her husband also tries to give her full affection. But Shyamol's mother never accepted Tuli as her daughter-in-law. Tuli realized that there is no place for love in this society, all matters is a person's identity. Tuli tries to overcome everything but losses in this tug of war.",tt5JLmRaQx4,Chorki,Social,Sumon Dhar,"Yash Rohan, Prarthana Fardin Dighi, Saberi Alam, Hindol Ray, Mili Munshi","2 June, 2022",53 minutes,7.4,9,985409,13215,414,"31 May, 2022"
22,MUJIB AMAR PITA,"The film portrays the childhood and political inception of the father of the nation of Bangladesh, Bangabandhu Sheikh Mujibur Rahman. The story-line apprises his outgrowth as the greatest Bengali of all time.",b2JWQ_aLFfs,Prolancer Studio,Patriotic,Sohel Mohammad Rana,"Mehbuba Bipa, Raju Ahmed, Arup Kundu, Tahsina Rinia, Azad Shetu, Kazi Rakib, Hindol RoyTahmina Sangeeta, Anik Fahim, Kazi Rakib, Mohona Hossain, Rafiqul Alam","1 October, 2021",49 minutes,4.6,80,17923,515,23,"12 September, 2021"
